Location	Bait	Start	End	Transition	Weather	Predator, Amount	Tug	Hookset	Gathering	Snagging?	Fish Eyes?	ID	Note
Coral Horse	Metal Spinner						Light	Precision				743	
Ku'er	Blue Bobbit	0	8	Thunder	Clouds		Heavy	Powerful				817	
The Ruby Dragon	Ku'er	4	8	Thunder	Clouds		Heavy	Powerful				843	
Hells' Lid												100102	
Grinning Anchovy	Metal Spinner						Light	Precision				539	
Hellyfish	Live Shrimp						Light	Precision				541	
Ruby Shrimp	Live Shrimp						Light	Precision				545	
Blockhead	Ruby Shrimp						Heavy	Powerful				615	
Liopleurodon	Ruby Shrimp				Thunder		Heavy	Powerful				618	
Ukiki	Blue Bobbit	8	12		Wind		Heavy	Powerful				737	
Shrieker	Ruby Shrimp						Heavy	Powerful				757	
Wicked Wartfish	Metal Spinner						Medium	Powerful				838	
The Vegetarian	Ruby Shrimp	20	24		Thunder		Heavy	Powerful				823	
The Isle of Bekko												100103	
Grinning Anchovy	Live Shrimp						Light	Precision				539	
Hellyfish	Live Shrimp						Light	Precision				541	
Ruby Shrimp	Live Shrimp						Light	Precision				545	
Dafu	Bream Lure						Medium	Powerful				556	
Glass Tuna	Ruby Shrimp						Medium	Powerful				605	
Tawny Wench Shark	Blue Bobbit	10	18		Clear Skies		Medium	Powerful				609	
Usuginu Octopus	Live Shrimp						Heavy	Powerful				751	
Fatty Herring	Metal Spinner						Light	Precision				3314	
Seven Stars	Blue Bobbit	10	18	Thunder	Fair Skies		Heavy	Powerful				824	
Shoal Rock												100104	
Grinning Anchovy	Live Shrimp						Light	Precision				539	
Ruby Coral	Bream Lure						Light	Precision		1		542	
Sapphire Coral	Bream Lure						Light	Precision		1		543	
Bone Coral	Bream Lure						Light	Precision		1		544	
Butterfly Fish	Blue Bobbit						Medium	Powerful				555	
Harutsuge	Blue Bobbit						Medium	Powerful				628	
Harutsuge Sprag	Live Shrimp						Light	Precision					
Ruby Laver	Metal Spinner						Light	Precision				836	
The Winter Queen	Blue Bobbit	16	20				Heavy	Powerful				768	
Onokoro												100105	
Ruby Shrimp	Live Shrimp						Light	Precision				545	
Leaf Tatsunoko	Metal Spinner						Light	Precision				557	
Glass Flounder	Bream Lure						Medium	Powerful				558	
Blackfin Snake Eel	Blue Bobbit						Medium	Powerful				621	
Swordfish	Blue Bobbit	8	16		Clouds, Wind		Heavy	Powerful				632	
Giant Plesiosaur	Live Shrimp						Medium	Powerful					
Hook Fish	Metal Spinner						Medium	Powerful				3312	
Argonautica	Ruby Shrimp				Wind		Heavy	Powerful				818	
Isari												100106	
Glass Herring	Metal Spinner						Medium	Powerful				540	
Gliding Fish	Bream Lure						Medium	Powerful				559	
Globefish	Metal Spinner						Medium	Powerful				560	
Fan Clam	Live Shrimp						Medium	Powerful		1		561	
Ruby Meagre	Blue Bobbit						Medium	Powerful				563	
Triplespine	Blue Bobbit	5	7				Light	Precision				748	
Shirogane Clam	Metal Spinner						Light	Precision				777	
Pinhead	Live Shrimp	16	24	Clear Skies, Fair Skies	Thunder		Heavy	Powerful				825	
The Isle of Zekki												100107	
Ruby Shrimp	Metal Spinner						Light	Precision				545	
Daio Squid	Bream Lure						Heavy	Powerful				603	
Koromo Octopus	Bream Lure						Heavy	Powerful				604	
Zekki Grouper	Blue Bobbit						Medium	Powerful				610	
Zekki Gator	Ruby Shrimp						Heavy	Powerful				634	
Rakshasa	Ruby Shrimp				Thunder		Heavy	Powerful				769	
Ruby Price Depths												100151	
Wentletrap	Small Gig Head											638	
Black Boxfish	Normal Gig Head											639	
Spider Crab	Large Gig Head											648	
Hatchetfish	Small Gig Head											656	
Threadfish	Normal Gig Head											657	
Corpse-eater	Large Gig Head											665	
Tamamizu												100152	
Wentletrap	Small Gig Head											638	
Glass Manta	Large Gig Head											640	
Little Dragonfish	Normal Gig Head											649	
Garden Eel	Small Gig Head											658	
Ronin Trevally	Large Gig Head											666	
Swordtip	Normal Gig Head											673	
Sui–no–Sato												100153	
Regal Silverside	Small Gig Head											641	
Little Dragonfish	Normal Gig Head											649	
Black Fanfish	Large Gig Head											650	
Eastern Sea Pickle	Small Gig Head											659	
Toothsome Grouper	Large Gig Head											667	
False Scad	Normal Gig Head											674	
The Adventure												100154	
Regal Silverside	Small Gig Head											641	
Black Boxfish	Normal Gig Head											639	
Zebra Shark	Large Gig Head											651	
Brindlebass	Large Gig Head											660	
Horned Turban	Small Gig Head											668	
Snow Crab	Normal Gig Head											675	
Shisui of the Violet Tides												100155	
Snowflake Moray	Normal Gig Head											642	
Nophica's Comb	Small Gig Head											652	
Black Fanfish	Large Gig Head											650	
Demon Stonefish	Normal Gig Head											661	
Ruby Sea Star	Small Gig Head											669	
Red-eyed Lates	Large Gig Head											676	
The Kobayashi Maru												100156	
Redcoat	Normal Gig Head											680	
Sea Lamp	Small Gig Head											692	
Amberjack	Large Gig Head											693	
Spiny Lobster	Normal Gig Head											703	
Bashful Batfish	Small Gig Head											711	
Motley Beakfish	Large Gig Head											720	
Ichimonji	Large Gig Head	2	12									740	
The Eastern Ruby Sea												100191	
Horned Turban	Small Gig Head											668	
Swordtip	Normal Gig Head											673	
Spiny Lobster	Normal Gig Head											703	
Bashful Batfish	Small Gig Head											711	
Mitsukuri Shark	Large Gig Head					Bashful Batfish, 7						704	
Thousandfang	Large Gig Head					Bashful Batfish, 7						721	
Tiny Tatsunoko	Large Gig Head					Bashful Batfish, 7						734	
Kobayashi Maru's Northern Wake												100192	
Eastern Sea Pickle	Small Gig Head											659	
Horned Turban	Small Gig Head											668	
Corpse-eater	Large Gig Head											665	
Spiny Lobster	Normal Gig Head											703	
Motley Beakfish	Large Gig Head											720	
Snailfish	Normal Gig Head					Ichimonji, 10						741	
The Heron's Nest												100201	
Doman Trout	Suspending Minnow						Medium	Powerful				571	
Doman Crayfish	Stonefly Larva						Light	Precision				575	
Maiden's Heart	Nightcrawler						Light	Precision				744	
Pomegranate Trout	Nightcrawler				Rain		Heavy	Powerful				826	
The Heron's Way												100202	
River Barramundi	Versatile Lure						Medium	Powerful				564	
Doman Trout	Nightcrawler						Medium	Powerful				571	
Doman Crayfish	Nightcrawler						Light	Precision				575	
Glarramundi	Suspending Minnow			Fair Skies	Clear Skies		Heavy	Powerful				827	
Namai												100203	
Nogoi	Nightcrawler						Medium	Powerful				565	
Hermit's End	Stonefly Larva	20	24		Clear Skies		Heavy	Powerful				828	
The One River (East)												100208	
Yanxian Koi	Stonefly Larva						Medium	Powerful				569	
Longhair Catfish	Suspending Minnow						Medium	Powerful				570	
Doman Trout	Midge Larva						Medium	Powerful				571	
Yanxian Barramundi	Stonefly Larva						Heavy	Powerful				572	
Kotsu Zetsu	Suspending Minnow						Medium	Powerful				616	
Othardian Salmon	Metal Spinner						Medium	Powerful				839	
Axelrod	Stonefly Larva	0	8	Clouds	Fair Skies		Heavy	Powerful				830	
The One River (West)												100209	
Longhair Catfish	Stonefly Larva						Medium	Powerful				570	
Doman Trout	Nightcrawler						Medium	Powerful				571	
Kotsu Zetsu	Stonefly Larva						Medium	Powerful				616	
Seraphim	Stonefly Larva	16	24				Medium	Powerful				620	
Hagoromo Bijin	Stonefly Larva			Clouds	Clear Skies, Fair Skies		Heavy	Powerful				819	
Plum Spring												100210	
Doman Trout	Nightcrawler						Medium	Powerful				571	
Kotsu Zetsu	Metal Spinner						Medium	Powerful				616	
Pandamoth	Midge Larva	10	18				Medium	Powerful				617	
Silken Koi	Stonefly Larva				Rain		Heavy	Powerful				629	
Plum Gazer	Midge Larva						Medium	Powerful				633	
Petal Shell	Signature Skyball						Light	Precision					
Hagoromo Koi	Stonefly Larva				Fog		Heavy	Powerful				771	
Prism Canyon												100205	
Doman Trout	Metal Spinner						Medium	Powerful				571	
Doman Crayfish	Stonefly Larva						Light	Precision				575	
Doman Eel	Versatile Lure	17	10				Medium	Powerful				584	
The Unraveled Bow	Suspending Minnow	12	16		Fog		Heavy	Powerful				831	
Prism Lake												100204	
Yellow Prismfish	Suspending Minnow						Medium	Powerful				598	
Blue Prismfish	Suspending Minnow						Medium	Powerful				599	
Violet Prismfish	Stonefly Larva	0	4				Medium	Powerful				738	
Red Prismfish	Stonefly Larva	4	8				Medium	Powerful				755	
White Goldfish	Red Prismfish						Medium	Powerful				758	
Firelight Goldfish	Red Prismfish	4	8				Light	Precision				759	
Indigo Prismfish	Violet Prismfish	0	4				Light	Precision				806	
Green Prismfish	Stonefly Larva	0	16	Fair Skies	Clear Skies, Fair Skies		Light	Precision				807	
Warden of the Seven Hues	Stonefly Larva					Indigo Prismfish, 3, Firelight Goldfish, 3, Green Prismfish, 5	Heavy	Powerful				844	
Mercantile Docks												100207	
Doman Trout	Nightcrawler						Medium	Powerful				571	
Doman Grass Carp	Midge Larva	20	4				Heavy	Powerful				592	
Lordly Salmon	Versatile Lure						Medium	Powerful				597	
Kotsu Zetsu	Metal Spinner						Medium	Powerful				616	
White Clam	Metal Spinner						Light	Precision					
Suiten Ippeki	Stonefly Larva	16	24	Fair Skies	Showers		Heavy	Powerful				829	
Doma Castle												100206	
Doman Trout	Nightcrawler						Medium	Powerful				571	
Samurai Fish	Versatile Lure						Light	Precision				593	
Blank Oscar	Midge Larva						Medium	Powerful				595	
Dragonfish	Midge Larva						Medium	Powerful				596	
Raitonfish	Suspending Minnow				Rain, Showers		Medium	Powerful				606	
Bokuden	Stonefly Larva	12	14				Heavy	Precision				770	
The One River Southwestern Riverbeds												100251	
Hoppfish	Small Gig Head											643	
Lightscale	Large Gig Head											644	
Warty Wartfish	Normal Gig Head											653	
Gauntlet Crab	Small Gig Head											670	
Common Bitterling	Normal Gig Head											677	
Fifty-summer Cod	Large Gig Head											678	
The One River Southern Riverbeds												100252	
Grass Fugu	Normal Gig Head											645	
Giant Eel	Large Gig Head											646	
Common Whelk	Small Gig Head											654	
Armored Crayfish	Small Gig Head											662	
Bighead Carp	Large Gig Head											663	
Hermit Goby	Normal Gig Head											671	
Imperial Hypersonic Assault Craft L-XXIII												100253	
Kamina Crab	Small Gig Head											647	
Grass Fugu	Normal Gig Head											645	
Hairless Barb	Large Gig Head											655	
Zeni Clam	Small Gig Head											664	
Nagxian Mullet	Normal Gig Head											679	
Skythorn	Large Gig Head											672	
The Sunken Junk												100254	
Yanxian Tiger Prawn	Small Gig Head											681	
Tengu Fan	Normal Gig Head											682	
Cherry Salmon	Large Gig Head											694	
Doman Bubble Eye	Small Gig Head											705	
River Bream	Normal Gig Head											712	
Ichthyosaur	Large Gig Head											722	
The Dragon's Struggle												100255	
Star Turban	Small Gig Head											683	
Blue-fish	Large Gig Head											684	
Yu-no-hana Crab	Normal Gig Head											695	
Dragon Squeaker	Small Gig Head											706	
Snipe Eel	Large Gig Head											713	
Sailfin	Normal Gig Head											723	
The Sunken Junk's South Side												100291	
Doman Bubble Eye	Small Gig Head											705	
Dragon Squeaker	Small Gig Head											706	
Snipe Eel	Large Gig Head											713	
Ichthyosaur	Large Gig Head											722	
Cherubfish	Normal Gig Head					Ichthyosaur, 7						714	
Fangshi	Normal Gig Head					Ichthyosaur, 7						724	
Dafangshi	Small Gig Head					Ichthyosaur, 7							
Nem Khaal												100301	
Killifish	Midge Larva				Clear Skies		Light	Precision				574	
Othardian Trout	Salmon Roe						Medium	Powerful					
Zagas Khaal	Nightcrawler						Light	Precision				577	
Steppe Skipper	Midge Larva						Light	Precision				578	
Dawn Crayfish	Zagas Khaal						Light	Precision				580	
Garden Skipper	Midge Larva	8	12	Fair Skies	Clear Skies		Heavy	Precision				833	
Hak Khaal												100302	
Zagas Khaal	Nightcrawler						Light	Precision				577	
Curtain Pleco	Suspending Minnow						Medium	Powerful				581	
Dry Steppe Skipper	Versatile Lure						Light	Precision				586	
Dusk Crayfish	Salmon Roe						Light	Precision				588	
Hak Bitterling	Stonefly Larva	0	4		Rain		Medium	Powerful				623	
Banderole	Zagas Khaal	0	8	Fair Skies	Fog		Heavy	Powerful				834	
Upper Yat Khaal												100303	
Zagas Khaal	Nightcrawler						Light	Precision				577	
Tail Mountains Minnow	Zagas Khaal						Light	Precision				573	
Dry Steppe Skipper	Midge Larva						Light	Precision				586	
Skytear	Versatile Lure						Light	Precision				587	
Dusk Crayfish	Zagas Khaal						Light	Precision				588	
Blade Skipper	Suspending Minnow	4	8		Fog		Heavy	Powerful				821	
Sunshell	Midge Larva											779	
Fatty Eel	Salmon Roe											786	
Leatherscale	Salmon Roe											796	
Appleseed	Salmon Roe											803	
Azim Khaat												100304	
Zagas Khaal	Nightcrawler						Light	Precision				577	
Othardian Trout	Zagas Khaal						Medium	Powerful				576	
Sun Bass	Suspending Minnow						Medium	Powerful				579	
Hardscale	Suspending Minnow						Medium	Powerful				591	
Sweatfish	Stonefly Larva						Light	Precision				622	
Guppy	Stonefly Larva	16	20		Clear Skies, Fair Skies		Light	Precision				739	
Duskfish	Zagas Khaal	8	16	Rain, Gales	Clouds		Heavy	Powerful				820	
Water Fan	Salmon Roe											781	
Gigas Catfish	Salmon Roe											789	
Greasy Strangler	Salmon Roe											792	
Spikefish	Salmon Roe											798	
Tao Khaal												100305	
Zagas Khaal	Nightcrawler						Light	Precision				577	
Dry Steppe Skipper	Versatile Lure						Light	Precision				586	
Dusk Crayfish	Zagas Khaal						Light	Precision				588	
Bowfish	Versatile Lure						Medium	Powerful				589	
Tao Bitterling	Versatile Lure						Light	Precision				594	
Elder Gourami	Zagas Khaal				Fog, Clouds		Medium	Powerful				756	
The Word of God	Stonefly Larva	20	24				Heavy	Precision				772	
Fish Offering	Salmon Roe											785	
Zagas A'khaal	Salmon Roe											788	
Steppe Sweetfish	Salmon Roe											791	
Moon Oyster	Salmon Roe											795	
Lower Yat Khaal												100306	
Othardian Trout	Salmon Roe						Medium	Powerful				576	
Steppe Skipper	Midge Larva						Light	Precision				578	
Dawn Crayfish	Suspending Minnow						Light	Precision				580	
Yat Goby	Metal Spinner						Light	Precision				582	
Jade Sculpin	Suspending Minnow						Light	Precision				590	
Fragrant Sweetfish	Metal Spinner						Light	Precision					
Yat Khan	Stonefly Larva				Wind		Heavy	Precision				773	
Crimson Copperfish	Salmon Roe											787	
Dusk Scallop	Salmon Roe											797	
Granite Hardscale	Salmon Roe											801	
Fishy Fish	Salmon Roe											805	
Dotharl Khaa												100307	
Brassfish	Salmon Roe						Light	Precision				585	
Nhaama's Boon	Midge Larva						Medium	Powerful				583	
Nhaama's Treasure	Suspending Minnow	4	8	Rain	Clear Skies, Fair Skies		Heavy	Powerful				832	
The Unconditional	Stonefly Larva	5	7	Rain	Clear Skies		Heavy	Precision				845	
Steppe Barramundi	Salmon Roe											780	
Arrowhead Snail	Salmon Roe											782	
Plump Trout	Salmon Roe											802	
Crawling Cog	Salmon Roe											804	
Azim Khaat Western Lakebed												100351	
Steppe Bullfrog	Small Gig Head											685	
Cavalry Catfish	Large Gig Head											686	
Dotharli Gudgeon	Normal Gig Head											696	
Dawn Herald	Small Gig Head											707	
Dusk Herald	Normal Gig Head											715	
Flamefish	Large Gig Head											725	
Azim Khaat Eastern Lakebed												100352	
Redfin	Normal Gig Head											687	
River Clam	Small Gig Head											697	
Grass Shark	Large Gig Head											698	
Dawn Herald	Small Gig Head											707	
Fickle Krait	Normal Gig Head											726	
Glaring Perch	Large Gig Head											716	
Azim Khaat Southern Lakebed												100391	
Dusk Herald	Normal Gig Head											715	
Glaring Perch	Large Gig Head											716	
Fickle Krait	Normal Gig Head											726	
Flamefish	Large Gig Head											725	
Eternal Eye	Small Gig Head					Glaring Perch, 7						727	
Soul of the Stallion	Small Gig Head					Glaring Perch, 7						728	
Kugane Piers												110101	
Grinning Anchovy	Metal Spinner						Light	Precision				539	
Ruby Shrimp	Metal Spinner						Light	Precision				545	
Striped Fugu	Ruby Shrimp						Medium	Powerful				562	
Glass Tuna	Ruby Shrimp						Medium	Powerful				605	
Hanatatsu	Ruby Shrimp						Medium	Powerful				630	
Ribbon Eel	Ruby Shrimp						Light	Precision				754	
Rising Dragon	Ruby Shrimp						Heavy	Powerful				766	
Shirogane												110201	
Grinning Anchovy	Live Shrimp						Light	Precision				539	
Ruby Shrimp	Live Shrimp						Light	Precision				545	
Striped Fugu	Ruby Shrimp						Medium	Powerful				562	
Glass Tuna	Ruby Shrimp						Medium	Powerful				605	
The Gambler	Blue Bobbit						Heavy	Powerful				767	
The Silver Canal												110202	
Nogoi	Stonefly Larva						Medium	Powerful				565	
Doman Trout	Metal Spinner						Medium	Powerful				571	
Killifish	Midge Larva				Clear Skies		Light	Precision				574	
Brassfish	Midge Larva						Light	Precision				585	
Bonsai Fish	Nightcrawler						Light	Precision				753	
Princess Killifish	Nightcrawler	4	6				Heavy	Precision				816	
The Trivium												120101	
Crystal Knife	Marble Nymph						Medium	Powerful				3014	
Laxan Carp	Fruit Worm						Medium	Powerful				3008	
Asteroidea	Robber Ball						Light	Precision				3009	
Lover's Flower	Marble Nymph						Light	Precision				3011	
Jacketed Snail	Marble Nymph						Light	Precision				3010	
Aster Trivi	Marble Nymph	22	24	Clear Skies	Clear Skies		Heavy	Precision	2150				
The Quadrivium												120102	
Crystal Knife	Fruit Worm						Medium	Powerful				3014	
Laxan Carp	Fruit Worm						Medium	Powerful				3008	
Sinspitter	Marble Nymph						Light	Precision				3012	
Wandering Catfish	Baitbugs						Light	Precision				3013	
The Sinsteeped	Fruit Worm	22	24		Clear Skies, Fair Skies		Heavy	Precision	1900			3301	
Crystarium Personal Suites												120103	
Crystal Knife	Fruit Worm						Medium	Powerful				3014	
Laxan Carp	Fruit Worm						Medium	Powerful				3008	
Crystarium Tetra	Fruit Worm						Light	Precision				3007	
Skeletonfish	Marble Nymph						Light	Precision				3015	
Loose Pendant	Baitbugs	18	22				Heavy	Precision				3179	
The Derelicts												120201	
Milky Coral	Moyebi Shrimp						Light	Precision		1		3016	
Gravel Mussel	Moyebi Shrimp						Light	Precision		1		3017	
Bonefish	Moyebi Shrimp						Light	Precision				3019	
Crimson Sea Spider	Moyebi Shrimp						Light	Precision				3018	
Eulmore Butterfly	Moyebi Shrimp						Light	Precision				3020	
Red Hammerhead	Squid Strip						Medium	Powerful				3021	
Winged Dame	Squid Strip	12	19		Clear Skies		Heavy	Precision				3180	
The Rift of Sighs												120301	
Eighteyes Eel	Fruit Worm						Light	Precision				3001	
Hard Candy	Metal Spinner						Light	Precision				3022	
Abyssal Snail	Metal Spinner						Light	Precision				3024	
Water Ball	Baitbugs						Light	Precision				3023	
Albino Caiman	Robber Ball						Medium	Powerful				3028	
Sweetheart	Baitbugs			Fog	Clear Skies, Fair Skies		Heavy	Powerful	1900			3302	
The Rusted Reservoir												120302	
Hard Candy	Metal Spinner						Light	Precision				3022	
Abyssal Snail	Metal Spinner						Light	Precision				3024	
Water Ball	Marble Nymph						Light	Precision				3023	
Misty Killifish	Robber Ball						Light	Precision				3030	
Platinum Guppy	Baitbugs				Clear Skies		Light	Precision				3029	
Moonlight Guppy	Baitbugs	6	8	Clear Skies	Fair Skies		Heavy	Precision	1950			3344	
The Source												120303	
Hard Candy	Marble Nymph						Light	Precision				3022	
Clean Saucer	Fruit Worm						Light	Precision				3025	
Rabbit Skipper	Fruit Worm						Light	Precision				3026	
Xanthic Bass	Marble Nymph						Light	Precision				3027	
Albino Rock Crab	Baitbugs						Light	Precision				3031	
Laxan Inkhorn	Metal Spinner						Light	Precision				3187	
The Unforgiven	Baitbugs				Fog		Heavy	Powerful				3181	
Sullen												120304	
Hard Candy	Baitbugs						Light	Precision				3022	
Rabbit Skipper	Metal Spinner						Light	Precision				3026	
Xanthic Bass	Fruit Worm						Light	Precision				3027	
Snakeskin Discus	Baitbugs						Light	Precision				3032	
Python Discus	Fruit Worm			Rain	Thunderstorms		Heavy	Precision	2150				
The Isle of Ken												120305	
Hard Candy	Metal Spinner						Light	Precision				3022	
Clean Saucer	Metal Spinner						Light	Precision				3025	
Albino Garfish	Marble Nymph						Medium	Powerful				3033	
Vicejaw	Baitbugs						Heavy	Powerful				3034	
The Jaws of Undeath	Baitbugs	16	24	Clear Skies, Fair Skies	Clouds, Fog		Heavy	Powerful				3193	
Listracanthus	The Jaws of Undeath	16	24	Clear Skies, Fair Skies	Fog		Heavy	Powerful	2250				
Northeast Source												120351	
Lilac Goby	Small Gig Head											3114	
Purple Ghost	Small Gig Head											3115	
Gazing Glass	Normal Gig Head											3117	
Elven Spear	Large Gig Head											3119	
Lakelouse	Normal Gig Head											3116	
Source Octopus	Large Gig Head											3118	
The Isle of Ken												120352	
Grey Carp	Small Gig Head											3113	
Shade Gudgeon	Small Gig Head											3120	
Lakethistle	Normal Gig Head											3121	
Platinum Bream	Normal Gig Head											3122	
Finned Eggplant	Large Gig Head											3124	
Wardenfish	Large Gig Head											3123	
Southeast Source												120353	
Skykisser	Small Gig Head											3125	
Viola Clam	Small Gig Head											3126	
Lakeland Cod	Large Gig Head											3130	
Geayi	Normal Gig Head											3127	
Noblefish	Normal Gig Head											3128	
Misteye	Large Gig Head											3129	
Eastern Isle of Ken												120391	
Purple Ghost	Small Gig Head											3115	
Lakelouse	Normal Gig Head											3116	
Shade Gudgeon	Small Gig Head											3120	
Platinum Bream	Normal Gig Head											3122	
Little Bismarck	Large Gig Head					Noblefish, 10						3131	
Bothriolepis	Large Gig Head					Noblefish, 10						3132	
Upper Watts River												120401	
Skulleater	Metal Spinner						Light	Precision				3035	
Toffee Snail	Metal Spinner						Light	Precision				3036	
Watts Trout	Metal Spinner						Light	Precision				3037	
Hucho Taimen	Baitbugs						Medium	Powerful				3038	
Winged Hatchetfish	Robber Ball						Light	Precision				3039	
Giant Taimen	Baitbugs						Heavy	Powerful	1900			3303	
White Oil Falls												120402	
Skulleater	Fruit Worm						Light	Precision				3035	
Watts Trout	Fruit Worm						Light	Precision				3037	
Noble's Fan	Marble Nymph						Light	Precision				3040	
White Oil Perch	Metal Spinner						Medium	Powerful				3188	
Steel Fan	Marble Nymph			Clouds	Fog		Heavy	Precision	1950			3345	
Lower Watts River												120403	
Skulleater	Metal Spinner						Light	Precision				3035	
Toffee Snail	Metal Spinner						Light	Precision				3036	
Watts Trout	Metal Spinner						Light	Precision				3037	
Zebra Catfish	Marble Nymph						Light	Precision				3041	
White Ronso	Baitbugs	0	2				Heavy	Precision				3194	
Sharptongue Drip												120404	
Skulleater	Metal Spinner						Light	Precision				3035	
Toffee Snail	Metal Spinner						Light	Precision				3036	
Sepia Sole	Marble Nymph						Light	Precision				3042	
Bronze Sole	Marble Nymph				Rain		Heavy	Powerful				3182	
The Western Kholusian Coast												120405	
South Kholusian Cod	Short Bill Minnow						Light	Precision				3046	
Kholusian Flounder	Short Bill Minnow						Light	Precision				3045	
Shellfracture Kelp	Moyebi Shrimp						Light	Precision				3043	
Creamy Oyster	Moyebi Shrimp						Light	Precision				3002	
Rose Shrimp	Short Bill Minnow						Light	Precision				3048	
Razorfish	Short Bill Minnow						Light	Precision				3047	
Kholusian King Crab	Metal Spinner						Medium	Powerful				3191	
Blue Crab	Squid Strip						Light	Precision				3310	
Steel Razor	Moyebi Shrimp	6	8				Heavy	Precision	2150				
Seagazer Shoals												120406	
South Kholusian Cod	Metal Spinner						Light	Precision				3046	
Kholusian Flounder	Metal Spinner						Light	Precision				3045	
Blood Cloud	Moyebi Shrimp						Medium	Powerful				3044	
Shapeshifter	Moyebi Shrimp						Light	Precision				3049	
Minstrelfish	Short Bill Minnow						Medium	Powerful				3050	
Shadeshifter	Squid Strip	10	14	Clear Skies, Fair Skies	Gales		Heavy	Precision	2150				
Aquamaton	Short Bill Minnow	10	16			Shadeshifter, 1, Shapeshifter, 5	Heavy	Powerful	2250				
The Eastern Kholusian Coast												120407	
South Kholusian Cod	Metal Spinner						Light	Precision				3046	
Shellfracture Kelp	Metal Spinner						Light	Precision				3043	
Blood Cloud	Moyebi Shrimp						Medium	Powerful				3044	
Spearhead Squid	Short Bill Minnow						Light	Precision				3054	
Kholusian Wrasse	Spearhead Squid						Medium	Powerful				3051	
Weedy Seadragon	Short Bill Minnow						Light	Precision				3052	
Henodus	Spearhead Squid	16	0		Clouds, Fog		Heavy	Powerful				3053	
Henodus Grandis	Spearhead Squid	22	0		Clouds		Heavy	Powerful	1950			3346	
The River of Sand												120501	
Shadow Crab	Metal Spinner						Light	Precision				3055	
Desert Dustfish	Metal Spinner						Light	Precision				3056	
Sand Egg	Desert Dessert Frog						Light	Precision				3059	
Hornhelm	Jerked Ovim						Medium	Powerful				3057	
Web-footed Sand Gecko	Desert Dessert Frog						Light	Precision				3058	
The Horned King	Hornhelm	0	6		Dust Storms		Heavy	Powerful				3183	
Cinder Surprise	Desert Dessert Frog	0	2	Dust Storms	Heat Waves	Sand Egg, 10	Heavy	Precision	2250				
The Nabaath Severance												120502	
Shadow Crab	Desert Dessert Frog						Light	Precision				3055	
Desert Dustfish	Desert Dessert Frog						Light	Precision				3056	
Amber Lamprey	Desert Dessert Frog						Medium	Powerful				3060	
Hornhelm	Jerked Ovim						Medium	Powerful				3057	
Desert Saw	Jerked Ovim						Heavy	Powerful				3061	
Areng Dire	Metal Spinner						Medium	Powerful				3190	
Nabaath Saw	Desert Saw	6	10	Clear Skies, Fair Skies, Heat Waves	Heat Waves		Heavy	Powerful	2150				
The Hills of Amber												120503	
Garik Crab	Metal Spinner						Light	Precision				3062	
Desert Dustfish	Metal Spinner						Light	Precision				3056	
Web-footed Sand Gecko	Desert Dessert Frog						Light	Precision				3058	
Nabaath Manta	Web-footed Sand Gecko						Medium	Powerful				3063	
Amber Monkfish	Desert Dessert Frog						Medium	Powerful				3004	
Thorned Lizard	Web-footed Sand Gecko	10	18		Clear Skies, Fair Skies, Heat Waves		Heavy	Powerful				3064	
Ambling Caltrop	Web-footed Sand Gecko	12	16		Clear Skies		Heavy	Powerful				3195	
Handmirror Lake												120601	
Grey Skipper	Fruit Worm						Light	Precision				3067	
Pixie Fish	Marble Nymph						Light	Precision				3068	
Lemonfish	Marble Nymph						Light	Precision				3072	
Wimple Carp	Baitbugs						Light	Precision				3071	
Faeshine Clam	Metal Spinner						Light	Precision				3189	
Leannisg	Marble Nymph	6	8		Rain		Heavy	Powerful	1900			3304	
Longmirror Lake												120602	
Calico Trout	Fruit Worm						Light	Precision				3005	
Grey Skipper	Metal Spinner						Light	Precision				3067	
Cerulean Loach	Metal Spinner						Light	Precision				3076	
Official Ball	Marble Nymph						Light	Precision				3066	
Rebel	Marble Nymph						Light	Precision				3073	
Wild Red Betta	Baitbugs						Light	Precision				3074	
Fuchsia Bloom	Robber Ball						Light	Precision				3309	
The Sound of Fury	Baitbugs	20	0		Clear Skies, Fair Skies		Heavy	Precision				3184	
Ealad Skaan	Baitbugs	23	24	Thunderstorms	Clear Skies		Heavy	Precision	2250				
The Haughty One												120603	
Grey Skipper	Metal Spinner						Light	Precision				3067	
Cerulean Loach	Fruit Worm						Light	Precision				3076	
Blood-eyed Frog	Metal Spinner						Light	Precision				3069	
Official Ball	Marble Nymph						Light	Precision				3066	
Spotted Ctenopoma	Marble Nymph						Light	Precision				3075	
Sunken Tome	Marble Nymph	12	16	Fair Skies	Thunderstorms		Heavy	Precision	1950			3347	
The Jealous One												120604	
Grey Skipper	Fruit Worm						Light	Precision				3067	
Cerulean Loach	Fruit Worm						Light	Precision				3076	
Blood-eyed Frog	Metal Spinner						Light	Precision				3069	
Spotted Blue-eye	Marble Nymph						Light	Precision				3065	
Fae Rainbow	Marble Nymph			Clear Skies, Fair Skies	Fog		Heavy	Precision				3196	
The Spoiled One												120605	
Brightmirror Clam	Fruit Worm						Light	Precision				3003	
Grey Skipper	Metal Spinner						Light	Precision				3067	
Cerulean Loach	Metal Spinner						Light	Precision				3076	
Cherry Herring	Marble Nymph						Light	Precision				3070	
Dammroen Herring	Baitbugs						Heavy	Precision	2150				
Saint Fathric's Temple												120606	
